Location,Count,Timestamp
Albany,1,2020-03-12 21:54:00
Albany,2,2020-03-13 20:01:24
Albany,2,2020-03-14 03:19:05
Albany,2,2020-03-14 15:33:50
Albany,3,2020-03-14 18:51:54
Albany,3,2020-03-14 22:31:39
Albany,5,2020-03-15 02:22:39
Albany,5,2020-03-15 15:52:37
Albany,8,2020-03-15 19:58:05
Albany,23,2020-03-17 16:40:43
Albany,23,2020-03-17 18:00:34
Albany,23,2020-03-17 19:49:33
Albany,23,2020-03-17 20:28:21
Albany,23,2020-03-18 05:18:04
Albany,36,2020-03-18 20:27:28
Albany,36,2020-03-19 02:05:01
Albany,43,2020-03-19 17:56:54
Albany,43,2020-03-20 13:21:52
Albany,61,2020-03-20 19:36:17
Allegany,2,2020-03-17 16:40:43
Allegany,2,2020-03-17 18:00:34
Allegany,2,2020-03-17 19:49:33
Allegany,2,2020-03-17 20:28:21
Allegany,2,2020-03-18 05:18:04
Allegany,2,2020-03-18 20:27:28
Allegany,2,2020-03-19 02:05:01
Allegany,2,2020-03-19 17:56:54
Allegany,2,2020-03-20 13:21:52
Allegany,2,2020-03-20 19:36:17
Broom,1,2020-03-15 02:22:39
Broom,1,2020-03-15 15:52:37
Broome,1,2020-03-12 21:54:00
Broome,1,2020-03-13 20:01:24
Broome,1,2020-03-14 03:19:05
Broome,1,2020-03-14 15:33:50
Broome,1,2020-03-14 18:51:54
Broome,1,2020-03-14 22:31:39
Broome,1,2020-03-15 19:58:05
Broome,1,2020-03-17 16:40:43
Broome,1,2020-03-17 18:00:34
Broome,1,2020-03-17 19:49:33
Broome,1,2020-03-17 20:28:21
Broome,1,2020-03-18 05:18:04
Broome,1,2020-03-18 20:27:28
Broome,1,2020-03-19 02:05:01
Broome,2,2020-03-19 17:56:54
Broome,2,2020-03-20 13:21:52
Broome,2,2020-03-20 19:36:17
Chenango,1,2020-03-18 20:27:28
Chenango,1,2020-03-19 02:05:01
Chenango,2,2020-03-19 17:56:54
Chenango,2,2020-03-20 13:21:52
